"japanese","chinese","romaji","gender"
"加藤ゆか","加藤由佳","Yuka Kato",""
"大山義松","大山义松","Yoshimatsu Oyama",""
"宮本武蔵","宫本武藏","Miyamoto Musashi",""
"寺内崇幸","寺内崇幸","Takayuki Terauchi",""
"山田暢久","山田畅久","Nobuhisa Yamada",""
"日高憲敬","日高宪敬","Noritaka Hidaka",""
"林凪沙","林凪沙","Nagisa Hayashi",""
"柳本啓成","柳本启成","Hiroshige Yanagimoto",""
"渡边三男","渡边三男","Mitsuo Watanabe",""
"田澤純一","田泽纯一","Junichi Tazawa",""
"石井義信","石井义信","Yoshinobu Ishii",""
"石立真悠子","石立真悠子","Mayuko Ishitate",""
"ハーフナー・マイク","迈克·哈维纳尔","Mike Havenaar",""
"酒井高徳","酒井高德","Gōtoku Sakai",""
"鍵田忠兵衛","键田忠兵卫","Chubee Kagita",""
"高橋由伸","高桥由伸","Yoshinobu Takahashi",""
"中山雅史","中山雅史","Masashi Nakayama",""
"中村紀洋","中村纪洋","Norihiro Nakamura",""
"今井信郎","今井信郎","Imai Nobuo",""
"佐藤晃大","佐藤晃大","Akihiro Sato (footballer, born October 1986)",""
"北勝富士大輝","北胜富士大辉","Hokutofuji Daiki",""
"千田健太","千田健太","Kenta Chida",""
"城彰二","城彰二","Shoji Jo",""
"大嶺祐太","大岭祐太","Yuta Omine",""
"小林祐三","小林祐三","Yuzo Kobayashi",""
"小椋真介","小椋真介","Shinsuke Ogura",""
"山崎真 (サッカー選手)","山崎真","Makoto Yamazaki",""
"張本勲","张本勋","Isao Harimoto",""
"マニー・ラミレス","曼尼·拉米瑞兹","Manny Ramirez",""
"木村敦志","木村敦志","Atsushi Kimura",""
"柳田美幸","柳田美幸","Miyuki Yanagita",""
"渡邉千真","渡边千真","Kazuma Watanabe",""
"石井浩郎","石井浩郎","Hiroo Ishii",""
"秋葉忠宏","秋叶忠宏","Tadahiro Akiba",""
"立花義家","立花义家","Yoshiie Tachibana",""
"ジョシュ・ハレルソン","约什·哈雷尔森","Josh Harrellson",""
"落合博満","落合博满","Hiromitsu Ochiai",""
"藤田征也","藤田征也","Seiya Fujita",""
"谷川禎次郎","谷川祯次郎","Teijiro Tanikawa",""
"関浩二","关浩二","Koji Seki",""
"上川大樹","上川大树","Daiki Kamikawa",""
"丹羽孝希","丹羽孝希","Koki Niwa",""
"井出有治","井出有治","Yuji Ide",""
"前田遼一","前田辽一","Ryoichi Maeda",""
"北口晃","北口晃","Akira Kitaguchi",""
"吉田沙保里","吉田沙保里","Saori Yoshida",""
"大岩剛","大岩刚","Gō Ōiwa",""
"安田晃大","安田晃大","Kodai Yasuda",""
"富田勢源","富田势源","Toda Seigen",""
"更木剣八","更木剑八","Kenpachi Zaraki",""
"松尾静香","松尾静香","Shizuka Matsuo",""
"栗山巧","栗山巧","Takumi Kuriyama",""
"横山正文","横山正文","Masafumi Yokoyama",""
"熊井俊一","熊井俊一","Shunichi Kumai",""
"秋山幸二","秋山幸二","Koji Akiyama",""
"近藤真彦","近藤真彦","Masahiko Kondō",""
"野田知","野田知","Satoru Noda (footballer)",""
"陳文賓","陈文宾","Chen Wen-bin",""
"駒野友一","驹野友一","Yūichi Komano",""
"中本邦治","中本邦治","Kuniharu Nakamoto",""
"中村俊輔","中村俊辅","Shunsuke Nakamura",""
"五十嵐和也","五十岚和也","Kazuya Igarashi",""
"巻田清一","卷田清一","Seiichi Makita",""
"吉武剛","吉武刚","Tsuyoshi Yoshitake",""
"安里安恒","安里安恒","Ankō Asato",""
"宍倉邦枝","宍仓邦枝","Kunie Shishikura",""
