"japanese","chinese","romaji","gender"
"三浦宏規","三浦宏规","Hiroki Miura",""
"伊集院五郎","伊集院五郎","Ijuin Gorō",""
"佐藤隆太","佐藤隆太","Ryuta Sato",""
"佐野ひなこ","佐野日向子","Hinako Sano",""
"氷川きよし","冰川清志","Kiyoshi Hikawa",""
"古川勝","古川胜","Masaru Furukawa",""
"大野愛果","大野爱果","Aika Ōno",""
"太田基裕","太田基裕","Motohiro Ota",""
"安井算知","安井算知","Yasui Sanchi",""
"安達祐実","安达祐实","Yumi Adachi",""
"宮代大聖","宫代大圣","Taisei Miyashiro",""
"小針清允","小针清允","Kiyomitsu Kobari",""
"工藤夕貴","工藤夕贵","Youki Kudoh",""
"平木隆三","平木隆三","Ryuzo Hiraki",""
"新渡戸稲造","新渡户稻造","Nitobe Inazō",""
"朝倉景健","朝仓景健","Asakura Kagetake",""
"木下あゆ美","木下亚由美","Ayumi Kinoshita",""
"林田和代","林田和代","Kazuyo Hayashida",""
"柳沢敦","柳泽敦","Atsushi Yanagisawa",""
"水間百合子","水间百合子","Yuriko Mizuma",""
"河邉美穂","河边美穗","Miho Kawabe",""
"清水理沙","清水理沙","Risa Shimizu (actress)",""
"源純夏","源纯夏","Sumika Minamoto",""
"濱口優","滨口优","Masaru Hamaguchi",""
"環境大臣","环境大臣","Minister of the Environment (Japan)",""
"田中哲也 (サッカー選手)","田中哲也","Tetsuya Tanaka (footballer)",""
"町田浩樹","町田浩树","Kōki Machida",""
"荻野可鈴","荻野可铃","Karin Ogino",""
"藤田奈那","藤田奈那","Nana Fujita",""
"西田龍雄","西田龙雄","Tatsuo Nishida",""
"逸然性融","逸然性融","Itsunen Shoyu",""
"鈴木宗男","铃木宗男","Muneo Suzuki",""
"雪室俊一","雪室俊一","Shun'ichi Yukimuro",""
"黒田洋介","黑田洋介","Yōsuke Kuroda",""
"斎藤一","斋藤一","Saitō Hajime",""
"三浦恵子","三浦惠子","Keiko Miura",""
"上木彩矢","上木彩矢","Aya Kamiki",""
"下村愛","下村爱","Honoka",""
"中山忍","中山忍","Shinobu Nakayama",""
"九条師孝","九条师孝","Kujō Morotaka",""
"伊藤歩","伊藤步","Ayumi Ito",""
"佐藤由希","佐藤由希","Yuki Sato (softball)",""
"優希美青","优希美青","Mio Yūki",""
"全開ガール","全开女孩","Full Throttle Girl",""
"名取武","名取武","Takeshi Natori",""
"土岐善麿","土岐善麿","Zenmaro Toki",""
"坂上香織","坂上香织","Kaori Sakagami",""
"坂井真紀","坂井真纪","Maki Sakai",""
"増山江威子","增山江威子","Eiko Masuyama",""
"大谷一二","大谷一二","Ichiji Otani",""
"宮原厚次","宫原厚次","Atsuji Miyahara",""
"小山田圭吾","小山田圭吾","Cornelius (musician)",""
"小松彩夏","小松彩夏","Ayaka Komatsu",""
"小森陽一 (国文学者)","小森阳一","Yōichi Komori",""
"小池里奈","小池里奈","Rina Koike",""
"本因坊道策","本因坊道策","Hon'inbō Dōsaku",""
"橋本研一","桥本研一","Kenichi Hashimoto",""
"江尻篤彦","江尻笃彦","Atsuhiko Ejiri",""
"泉政伸","泉政伸","Masanobu Izumi",""
"竹田恆和","竹田恒和","Tsunekazu Takeda",""
"第2次岸田内閣 (第2次改造)","第二次岸田内阁 (第二次改组)","Second Kishida Cabinet (Second Reshuffle)",""
"类家直美","类家直美","Naomi Ruike",""
"藤井聡太","藤井聪太","Sōta Fujii",""
"芦田内閣","芦田内阁","Ashida cabinet",""
"諸星清佳","诸星清佳","Sayaka Morohoshi",""
"谷亮子","谷亮子","Ryoko Tani",""
"赤城宗徳","赤城宗德","Munenori Akagi",""
"道下美里","道下美里","Misato Michishita",""
"遠藤憲一","远藤宪一","Kenichi Endō",""
"金成汗","金成杆","Kim Sung-gan",""
"中村喜春","中村喜春","Kiharu Nakamura",""
"中村由利 (歌手)","中村由利","Yuri Nakamura (singer)",""
"亜咲花","亚咲花","Asaka (musician)",""
"岡村孝子","冈村孝子","Takako Okamura",""
"加地亮","加地亮","Akira Kaji",""
"北条秀司","北条秀司","Hideji Hōjō",""
"吉岡たかを","吉冈孝夫","Takao Yoshioka",""
"四十住さくら","四十住樱","Sakura Yosozumi",""
"大本忠輝","大本忠辉","Tadateru Omoto",""
"孝明天皇","孝明天皇","Emperor Kōmei",""
"徳川秀忠","德川秀忠","Tokugawa Hidetada",""
"攀安知","攀安知","Han'anchi",""
"朝日姫","旭姬","Asahi no kata",""
"木下順二","木下顺二","Junji Kinoshita",""
"杉岡邦由","杉冈邦由","Kuniyoshi Sugioka",""
"杉本雅央","杉本雅央","Masao Sugimoto",""
"松本まりか","松本真理香","Marika Matsumoto",""
"根本はるみ","根本晴美","Harumi Nemoto",""
"椎名へきる","椎名碧流","Hekiru Shiina",""
"武田亘弘","武田亘弘","Nobuhiro Takeda (footballer, born 1965)",""
"河野洋平","河野洋平","Yōhei Kōno",""
"清浦奎吾","清浦奎吾","Kiyoura Keigo",""
"神前暁","神前晓","Satoru Kōsaki",""
"竹市雅俊","竹市雅俊","Masatoshi Takeichi",""
"菅野裕二","菅野裕二","Yuji Sugano",""
"ひし美ゆり子","菱美百合子","Yuriko Hishimi",""
"葛山信吾","葛山信吾","Shingo Katsurayama",""
"黄川田雅哉","黄川田将也","Masaya Kikawada",""
"亀井絵里","龟井绘里","Eri Kamei",""
"井上公平","井上公平","Kohei Inoue",""
"優香","优香","Yūka (actress)",""
"キリシタン","吉利支丹","Kirishitan",""
"大坂の陣","大坂之役","Siege of Osaka",""
"契沖","契冲","Keichū",""
"奥井雅美","奥井雅美","Masami Okui",""
"小林隆男","小林隆男","Takao Kobayashi",""
"尾身幸次","尾身幸次","Kōji Omi",""
"山川健次郎","山川健次郎","Yamakawa Kenjirō",""
"岩田剛典","岩田刚典","Takanori Iwata",""
"戸谷公人","户谷公人","Kimito Totani",""
"正力松太郎","正力松太郎","Matsutarō Shōriki",""
"渡辺皓太","渡边皓太","Kōta Watanabe (footballer)",""
"由井正雪","由井正雪","Yui Shōsetsu",""
"ヒデ夕樹","秀夕树","Yuki Hide",""
"第2次中曽根内閣","第二次中曾根内阁","Second Nakasone cabinet",""
"細田守","细田守","Mamoru Hosoda",""
"若林直美","若林直美","Naomi Wakabayashi",""
"賀集利樹","贺集利树","Toshiki Kashu",""
"遠藤航","远藤航","Wataru Endo",""
"テレサ・テン","邓丽君","Teresa Teng",""
"金容植","金容植","Kim Yong-sik",""
"髙橋海人","高桥海人","Kaito Takahashi",""
"対華21カ条要求","二十一条","Twenty-One Demands",""
"伊達倫央","伊达伦央","Michihisa Date",""
"加藤元浩","加藤元浩","Motohiro Katou",""
"又吉直樹","又吉直树","Naoki Matayoshi",""
"古賀正紘","古贺正纮","Masahiro Koga",""
"吹越満","吹越满","Mitsuru Fukikoshi",""
"大谷吉継","大谷吉继","Ōtani Yoshitsugu",""
"守屋茜","守屋茜","Akane Moriya",""
"小磯内閣","小矶内阁","Koiso cabinet",""
"山田涼介","山田凉介","Ryosuke Yamada",""
"川崎逸朗","川崎逸朗","Itsuro Kawasaki",""
"川端康成","川端康成","Yasunari Kawabata",""
"弥永和子","弥永和子","Kazuko Yanaga",""
"志茂文彦","志茂文彦","Fumihiko Shimo",""
"本郷功次郎","本乡功次郎","Kojiro Hongo",""
"松本洋平","松本洋平","Yohei Matsumoto",""
