"korean","chinese","english","gender"
"크러쉬 (음악가)","Crush (歌手)","Crush (singer)",""
"민 (가수)","Min (韩国歌手)","Min (South Korean singer)",""
"스피드 (대한민국의 음악 그룹)","SPEED (韩国音乐团体)","Speed (South Korean band)",""
"흥선대원군","兴宣大院君","Heungseon Daewongun",""
"구자성","具滋成","Koo Ja-sung",""
"길영아","吉永雅","Gil Young-ah",""
"태인호","太仁镐","Tae In-ho",""
"강맹경","姜孟卿","",""
"손상연","孙相渊","Son Sang-yeon",""
"윤상현 (정치인)","尹相现","Yoon Sang-hyun (politician)",""
"윤치호","尹致昊","Yun Ch'iho",""
"윤소희","尹邵熙","Yoon So-hee",""
"최세빈","崔世彬","Choi Se-bin",""
"최윤정 (1968년)","崔允晶","",""
"최홍일","崔洪日","",""
"폐비 신씨","废妃慎氏 (燕山君)","Deposed Queen Shin",""
"박순천 (배우)","朴顺天 (演员)","",""
"이효제","李孝济","",""
"이근택","李根泽","Yi Geun-taek",""
"이새롬","李赛纶","",""
"권성준 (요리사)","权圣晙 (厨师)","",""
"지소연","池笑然","Ji So-yun",""
"홍명보","洪明甫","Hong Myung-bo",""
"제주 4·3 사건","济州四·三事件","Jeju uprising",""
"신태용","申台龙","Shin Tae-yong",""
"신아람","申雅岚","Shin A-lam",""
"남자를 믿었네","相信男人","",""
"채지훈","蔡智薰","Chae Ji-hoon",""
"다데","裴御珍","",""
"조달환","赵达焕","",""
"차서원 (1991년)","车瑞元","Cha Seo-won",""
"차현정","车贤静","",""
"김신록","金新绿","Kim Shin-rok",""
"김동석 (1990년)","金东硕","",""
"김종학","金钟学","Kim Jong-hak",""
"부산광역시장","釜山广域市长","Mayor of Busan",""
"옌안 (가수)","闫桉","Yan An (entertainer)",""
"한무숙","韩戊淑","Han Moo-sook",""
"황보라","黄宝罗","Hwang Bo-ra",""
"틀:좌의정","Template:左议政","",""
"틀:제주특별자치도지사","Template:济州特别自治道知事","",""
"그레이 (가수)","Gray (歌手)","Gray (singer)",""
"전채은","全蔡訚","Jeon Chae-eun",""
"엠버 (가수)","刘逸云","Amber Liu (singer)",""
"천예주","千艺珠","",""
"오예진 (사격 선수)","吴艺珍 (射击运动员)","Oh Ye-jin",""
"귀인 엄씨","严银召史","",""
"뚜레쥬르","多乐之日","Tous les Jours",""
"송태림","宋泰林","Song Tae-lim",""
"송종호 (배우)","宋钟镐","Song Jong-ho",""
"최송현","崔松贤","Choi Song-hyun",""
"최강희 (배우)","崔江姬","Choi Kang-hee (actress)",""
"최영재 (1982년)","崔英宰 (播音员)","",""
"염동헌","廉东宪","",""
"장세동","张世东","",""
"서호진","徐昊辰","Seo Ho-jin",""
"성정아","成贞儿","Sung Jung-a",""
"조승희 (2002년)","曹承希","",""
"인조 (조선)","朝鲜仁祖","Injo of Joseon",""
"주예림","朱艺琳","Joo Ye-rim",""
"박완주","朴完柱","",""
"박해일","朴海日","Park Hae-il",""
"권오현 (기업인)","权五铉","Kwon Oh-hyun",""
"이규로","李奎鲁","Lee Kyu-ro",""
"이채영 (가수)","李彩煐 (fromis 9)","",""
"이상엽","李相烨","Lee Sang-yeob",""
"이범석","李范奭","Lee Beom-seok (prime minister)",""
"이예빈 (치어리더)","李艺斌","",""
"양정모 (레슬링인)","梁正模","Yang Jung-mo",""
"양석환","梁硕桓","Yang Suk-hwan",""
"윤아","润娥","Lim Yoona",""
"연준 (가수)","然竣","Yeonjun",""
"현택환","玄泽焕","Hyeon Taeghwan",""
"왕의 얼굴","王的面孔","The King's Face",""
"방민아","珉雅","Bang Min-ah",""
"HD현대미포","现代尾浦造船","HD Hyundai Mipo",""
"우민호","禹民镐","Woo Min-ho",""
"추미애","秋美爱","Choo Mi-ae",""
"빅토르 안","维克多·安","Viktor An",""
"정바라","郑巴拉","Jung Ba-ra",""
"김재웅 (야구 선수)","金在雄","",""
"김한솔 (체조 선수)","金汉率 (体操运动员)","Kim Han-sol (gymnast)",""
"한승혁 (1993년)","韩丞赫","",""
"한그루","韩可露","Han Groo",""
"CHEER UP (노래)","Cheer Up (歌曲)","Cheer Up (song)",""
"비스트의 음반 목록","Highlight音乐作品列表","Highlight discography",""
"NEXT (중국의 음악 그룹)","NEXT (组合)","Next (Chinese group)",""
"광주광역시장","光州广域市长","Mayor of Gwangju",""
"전석호","全锡浩","Jeon Seok-ho",""
"육룡이 나르샤","六龙飞天","Six Flying Dragons",""
"구대성","具台晟","Dae-sung Koo",""
"공희용","孔熙容","Kong Hee-yong",""
"손원일","孙元一","Sohn Won-yil",""
"쓸쓸하고 찬란하神 - 도깨비","孤单又灿烂的神—鬼怪","Guardian: The Lonely and Great God",""
"안병훈 (골프 선수)","安秉勋","An Byeong-hun",""
"최정우 (배우)","崔廷宇","Choi Jung-woo",""
"부원군","府院君","",""
"장승연","张丞延","",""
"주현","朱铉","Joo Hyun",""
"박진우 (1973년)","朴真宇","",""
"박진우 (1983년)","朴镇宇","Park Jin-woo",""
"이참","李参 (韩国)","Lee Charm",""
"이혜정 (모델)","李惠贞","",""
"이지현 (1983년)","李智贤 (1983年)","Lee Ji-hyun (actress, born 1983)",""
"이민기","李民基","Lee Min-ki",""
"우메 겐지로","梅谦次郎","Ume Kenjirō",""
"홍성흔","洪性炘","Hong Sung-heon",""
"홍민기 (배우)","洪民基","Hong Min-gi",""
"온소진","温昭珍","",""
"왕석현","王锡贤","Wang Seok-hyeon",""
"신지식","申智植","",""
"채연 (1978년)","蔡妍","Chae Yeon",""
"정기고","郑基高","Junggigo",""
"김길리","金吉里","Kim Gil-li",""
"김기정 (배드민턴 선수)","金基正","Kim Gi-jung",""
"김규식","金奎植","Kim Kyu-sik",""
"김희진 (배구 선수)","金姬真","Kim Hee-jin",""
"김성홍","金成鸿","Kim Sung-hong",""
"김소희 (스키 선수)","金昭希 (滑雪运动员)","Gim So-hui",""
"김문근","金汶根","",""
"알렌킴","金起范 (1990年)","Allen Kim",""
"진갑용","陈甲龙","Jin Kab-yong",""
"한채아","韩彩雅","Han Chae-ah",""
"영의정","领议政","Yŏngŭijŏng",""
"황신혜","黄薪惠","Hwang Shin-hye",""
"틀:강원특별자치도지사","Template:江原特别自治道知事","",""
"인천 현대제철 레드엔젤스","仁川现代制铁红天使女子足球俱乐部","Incheon Hyundai Steel Red Angels WFC",""
"변영장","卞荣将","",""
"오윤솔","吴允率","",""
"오승은 (배우)","吴胜恩","",""
"오영식","吴泳食","",""
"오교문","吴教文","Oh Kyo-moon",""
"효정왕후","孝定王后","Queen Hyojeong",""
"송승헌","宋承宪","Song Seung-heon",""
"밀풍군","密丰君","",""
"장우혁","张佑赫","Jang Woo-hyuk",""
"장한나","张汉娜","Han-na Chang",""
"장시환","张施晥","Jang Si-hwan",""
"마음의 소리: 얼간이들","心灵的声音：Reboot","",""
"사랑은 뷰티풀 인생은 원더풀","爱情是Beautiful，人生是Wonderful","Beautiful Love, Wonderful Life",""
"선데이 (가수)","智声Sunday","Sunday (singer)",""
"박민우 (배우)","朴敏雨","Park Min-woo (actor)",""
"박해미","朴海美","Park Hae-mi",""
"박유하","朴裕河","Park Yu-ha",""
"박현석 (연출가)","朴铉锡","",""
"이호준 (수영 선수)","李昊峻","Lee Ho-joon (swimmer)",""
"이시훈","李时勋","",""
"임상협","林尚协","Lim Sang-hyub",""
"유성은","柳星恩","U Sung-eun",""
"류시훈","柳时熏","Ryu Shikun",""
"홍화리","洪和利","Hong Hwa-ri",""
"홍기 (최규하의 부인)","洪基","Hong Gi",""
"옥관빈","玉观彬","Ok Kwanbin",""
"신동미","申东美","Shin Dong-mi",""
"노을 (가수)","卢乙","",""
"석하정","石贺净","Seok Ha-jung",""
"제5공화국 청문회","第五共和国听证会","",""
"션 리차드","肖恩·理查德","Sean Richard Dulake",""
"화사","华莎","Hwasa",""
"허경민","许敬民","Hur Kyoung-min",""
"차성호","车星镐","Seongho Cha",""
"정욱 (1938년)","郑旭 (1938年)","",""
"니콜 (1991년)","郑龙珠","Nicole Jung",""
"김재윤 (1958년)","金在允","",""
"나윤 (1998년)","金娜允","",""
"김재범","金宰范","Kim Jae-bum",""
"엘린 (가수)","金旼荣","",""
"김래원","金来沅","Kim Rae-won",""
"김진수 (축구 선수)","金珍洙","Kim Jin-su",""
"김석준 (1957년)","金锡俊","",""
"선우선","鲜于善","Sunwoo Sun",""
"아이에스티 엔터테인먼트","IST娱乐","IST Entertainment",""
"티파니 영","Tiffany (少女时代)","Tiffany Young",""
"칠학년일반","七学年一班","Year 7 Class 1",""
"유건 (배우)","刘建 (1983年)","Yoo Gun",""
"땡전 뉴스","叮全新闻","",""
"안호영 (1965년)","安浩永","",""
"송가연","宋佳妍","",""
"빅토리아 (가수)","宋茜","Victoria Song",""
"윤영찬","尹永灿","",""
"최성국 (배우)","崔成国 (演员)","Choi Sung-kook",""
"최형우 (야구 선수)","崔炯宇","Choi Hyoung-woo",""
"최영진 (1948년)","崔英镇","Choi Young-jin",""
"좌의정","左议政","Chwaŭijŏng",""
"서정연","徐正妍","Seo Jeong-yeon",""
"문희경","文熙景","Moon Hee-kyung",""
"주익성","朱益成","Joo Ik-seong",""
"박명훈","朴明勋","Park Myung-hoon",""
"박주호","朴柱昊","Park Joo-ho",""
"박영운","朴永云","Park Young-woon",""
"이태란","李泰兰","Lee Tae-ran",""
"이형석 (1961년)","李炯锡","",""
"이진호 (희극인)","李陈镐","",""
"류연석","柳延锡","",""
"유정현 (조선)","柳廷显","",""
"기석 (2004년)","柳起硕","Giseok",""
"홍화연","洪华莲","Hong Hwa-yeon",""
"모태범","牟太钒","Mo Tae-bum",""
"배진영","裴珍映","Bae Jin-young",""
"조만영","赵万永","Jo Man-yeong",""
"신국환 (1939년)","辛国焕","",""
"곽상훈","郭尚勋","Kwak Sang-hoon",""
"더원 (가수)","郑淳元","The One (singer)",""
"정현정 (작가)","郑贤贞","",""
"정구 (1543년)","郑逑","Chŏng Ku",""
"김형동","金亨东","",""
"김상협 (연출가)","金尚协","",""
"김성민 (유도 선수)","金成民","Kim Sung-min (judoka)",""
"김정현 (1976년)","金正铉","Kim Jung-hyun (actor, born 1976)",""
"김병지 (1830년)","金炳地","",""
"김성원 (배우)","金圣源","",""
"김전","金诠","",""
"김순옥 (작가)","金顺玉","Kim Soon-ok (screenwriter)",""
"김고은","金高银","Kim Go-eun",""
"Armageddon (aespa의 음반)","Armageddon (aespa专辑)","Armageddon (Aespa album)",""
"God (음악 그룹)","God (韩国音乐团体)","G.o.d",""
"RM (래퍼)","RM (防弹少年团)","RM (musician)",""
"임헌영 (문학평론가)","任轩永","Lim Heon-yong",""
"유리 (1989년)","俞利","Kwon Yu-ri",""
"설순","偰循","",""
"광무 (연호)","光武 (年号)","",""
"주석태","周锡泰","",""
"평화민주당","和平民主党","Peace Democratic Party",""
"송은범","宋恩范","Song Eun-beom",""
"윤영선 (1988년)","尹荣善","Yun Young-sun",""
"윤미진","尹美进","Yun Mi-jin",""
"프라하의 연인","布拉格恋人","Lovers in Prague",""
"장희령","张姬领","Jang Hee-ryung",""
"육영수 저격 사건","文世光事件","",""
"하야카와 렌","早川涟","Ren Hayakawa",""
"폭군의 셰프","暴君的厨师","Bon Appétit, Your Majesty",""
"조이현 (1991년)","曹伊贤","Cho Seung-hee",""
"박서함","朴栖含","Park Seo-ham",""
"박태환","朴泰桓","Park Tae-hwan",""
"이준서 (쇼트트랙 선수)","李俊瑞","Lee June-seo",""
"이유림","李幽琳","Lee Yu-lim",""
"이정하 (배우)","李正河","Lee Jung-ha",""
"이지훈 (1992년)","李知勋 (电竞选手)","",""
"임원희","林元熙","Im Won-hee",""
"임영웅","林英雄","Lim Young-woong",""
"롯데정밀화학","乐天精密化学","",""
"모윤숙","毛允淑","Moh Youn-sook",""
"왕선재","王善财","Wang Sun-jae",""
"신지수 (1985년)","申智秀","Shin Ji-soo",""
"수현 (배우)","秀贤","Claudia Kim",""
"롭 레프스나이더","罗布·瑞福斯奈德","Rob Refsnyder",""
"배정남","裴正楠","",""
"허광희","许侊熙","Heo Kwang-hee",""
"조태용","赵太庸","Cho Tae-yong",""
"차현우","车贤宇","",""
"정근우","郑根宇","Jeong Keun-woo",""
"정갑윤","郑甲润","",""
"김세영 (골프 선수)","金世煐","Kim Sei-young",""
"김창완","金昌完","Kim Chang-wan",""
"김서라","金曙曪","Sora Jung",""
"조아영 (1991년)","雅英","Ah Young",""
"한기찬","韩基灿","Han Gi-chan",""
"고수 (배우)","高洙","Go Soo",""
"III (음악 그룹)","III (女子组合)","",""
"KCC (기업)","KCC (公司)","KCC Corporation",""
"첫 만남은 계획대로 되지 않아","Plot twist (TWS歌曲)","Plot Twist (TWS song)",""
"원우 (가수)","全圆佑","Wonwoo",""
"구준엽","具俊晔","Koo Jun-yup",""
"동이 (드라마)","同伊","Dong Yi (TV series)",""
"강부자","姜富子","Kang Boo-ja",""
"공지영","孔枝泳","Gong Jiyeong",""
"안국현","安国铉","",""
"윤창범","尹昌范","",""
"윤현호","尹贤浩","",""
"강세정","康世丁","Kang Se-jung",""
"서하준","徐河俊","Seo Ha-joon",""
"조수미","曹秀美","Sumi Jo",""
"박규채","朴圭彩","",""
"이기용","李埼镕","",""
"이용마","李容马","",""
"이강욱 (배우)","李康旭","",""
"후이","李会泽","Hui (singer)",""
"이서진","李瑞镇","Lee Seo-jin",""
"임춘애","林春爱","Lim Chun-ae",""
"임현식","林玄植","Im Hyun-sik",""
"유선호 (2002년)","柳善皓","Yoo Seon-ho",""
"양현석","梁铉锡","Yang Hyun-suk",""
"홍경민","洪京民","Hong Kyung-min",""
"작서의 변","灼鼠之变","",""
"신동욱 (배우)","申东旭","Shin Dong-wook",""
"신정근","申正根","Shin Jung-geun",""
"조수진 (안무가)","赵守镇","Cho Soo-jin",""
"조정린","赵贞麟","",""
"정창화 (영화 감독)","郑昌和","Chung Chang-wha",""
"정성환 (배우)","郑盛焕","",""
"김형묵","金亨默","",""
"김선경 (1968년)","金宣敬","",""
"김재범 (배우)","金宰范 (演员)","",""
"김지우 (작가)","金志宇","",""
"김호령","金昊宁","",""
"성주 (가수)","金圣柱","Kim Sung-joo (entertainer)",""
"김현진 (1996년)","金贤镇","Kim Hyun-jin",""
"김히어라","金赫拉","Kim Hieora",""
"김재규","金载圭","Kim Jae-gyu",""
"김종민","金钟旼","Kim Jong-min",""
"고종욱","高宗郁","Ko Jong-wook",""
"은비 (가수)","高恩妃","EunB",""
"황정리","黄正利","Hwang Jang-lee",""
"황혜영 (배드민턴 선수)","黄惠英","Hwang Hye-young",""
"LPG (음악 그룹)","LPG (音乐团体)","LPG (South Korean group)",""
"유세윤","俞世润","Yoo Se-yoon",""
"원미경","元美京","Won Mi-kyung",""
"전태일","全泰壹","Jeon Tae-il",""
"전형필","全蓥弼","Jeon Hyeong-pil",""
"판서","判书","",""
"사사오입 개헌","四舍五入修宪","",""
"강행숙","姜幸淑","Kang Haeng-suk",""
"백만장자와 결혼하기","嫁给百万富翁","Marrying a Millionaire",""
"안양군","安阳君 (1480年)","",""
"상침 송씨","尚寝宋氏","",""
"윤주상","尹柱相","Yoon Joo-sang",""
"윤현숙","尹贤淑","",""
"시원 (가수)","崔始源","Choi Si-won",""
"최경환 (1955년)","崔炅焕","Choi Kyoung-hwan",""
"문필희","文弼姬","Moon Pil-hee",""
"미연","曹薇娟","Miyeon",""
"박지연 (배우)","朴知研","Park Ji-yeon (actress, born 1988)",""
"박석민","朴锡珉","Park Sok-min",""
"이억기","李亿祺","Yi Ŏkki",""
"이종애","李宗爱","Lee Jong-ae",""
"이수경 (1996년)","李秀敬","Lee Soo-kyung (actress, born 1996)",""
"이미숙","李美淑","Lee Mi-sook",""
"이재원 (1831년)","李载元","",""
"유승민 (1982년)","柳承敏","Ryu Seung-min",""
"양승조","梁承晁","Yang Seung-jo",""
"홍민표","洪旼杓","Hong Min-pyo",""
"홍지희","洪智熙","Hong Ji-hee",""
"홍진기 (배우)","洪镇基","",""
"재민","渽民","Jaemin",""
"현대백화점","现代百货","Hyundai Department Store",""
"전준우","田峻玗","Jeon Jun-woo",""
"신병현","申秉铉","",""
"배강희","裴康喜","",""
"허정","许政","Ho Chong",""
"차민지","车敏智","Cha Min-ji",""
"신유열","辛裕烈","",""
"정애연","郑爱妍","",""
"김승남 (1965년)","金承南","",""
"김정례","金正礼","Kim Chung-rye",""
"김영식 (1930년)","金永植 (1930年)","",""
"김우민","金禹旻","Kim Woo-min",""
"김사니","金莎妮","Kim Sa-nee",""
"김장생","金长生","Kim Jang-saeng",""
"선우용여","鲜于龙女","Sunwoo Yong-nyeo",""
"거북선","龟船","Turtle ship",""
"2021년 부산광역시장 보궐선거","2021年釜山市长补选","",""
"윤석열 대통령 탄핵 운동","2024年韩国抗议活动","2024 South Korean protests",""
"YMC엔터테인먼트","YMC娱乐","YMC Entertainment",""
"이브 (1997년)","Yves (本月少女)","Yves (singer)",""
"임현식 (가수)","任炫植","Im Hyun-sik (singer)",""
"전현무","全炫茂","Jun Hyun-moo",""
"천승세","千胜世","",""
"오정세","吴正世","Oh Jung-se",""
"손충무","孙忠武","",""
"셔누","孙贤祐","Shownu",""
"가족의 탄생 (드라마)","家族的诞生 (电视剧)","The Birth of a Family",""
"윤석민 (1986년)","尹锡珉","Yoon Suk-min",""
"최수진 (1986년)","崔秀珍","",""
"최만리","崔万理","Ch'oe Malli",""
"최정원 (쇼트트랙 선수)","崔贞洹","Choi Jung-won (speed skater)",""
"장대환","张大焕","Chang Dae-whan",""
"장현승","张贤胜","Jang Hyun-seung",""
"서삼석","徐参锡","",""
"성한국","成汉国","Sung Han-kook",""
"리멤버 (2022년 영화)","我记得 (2022年电影)","Remember (2022 film)",""
"문보령","文宝玲","",""
"문승원","文升元","",""
"박시현 (가수)","朴是炫","",""
"박주현 (1994년)","朴柱炫","Park Ju-hyun",""
"박찬종 (축구 선수)","朴灿钟","Park Chan-jong (footballer)",""
"권영준 (펜싱 선수)","权永晙","Kweon Young-jun",""
"이완용","李完用","Yi Wanyong",""
"이응복","李应福","Lee Eung-bok",""
"심은하","沈银河","Shim Eun-ha",""
"홍창기","洪昌基","Hong Chang-ki",""
"홍치중","洪致中","Hong Chi-jung",""
"금새록","琴世禄","Keum Sae-rok",""
"신동엽 (희극인)","申东烨","Shin Dong-yup (comedian)",""
"백현만","白贤万","Baik Hyun-man",""
"채서진","蔡舒辰","Chae Seo-jin",""
"훈민정음","训民正音","Hunminjeongeum",""
"정성희 (작가)","郑成熙","",""
"정한용","郑汉溶","Jung Han-yong",""
"김일우 (1963년)","金日宇","Kim Il-woo (actor, born 1963)",""
"김영철 (배우)","金永哲 (1953年)","Kim Yeong-cheol (actor)",""
"김수안 (2006년)","金秀安","Kim Su-an",""
"민룡","闵龙","Min Ryoung",""
"위하준","魏化俊","Wi Ha-joon",""
"황영희","黄英熙","Hwang Young-hee",""
"틀:뷔","Template:V (防弹少年团)","Template:V (singer)",""
"GYM 엔터테인먼트","G.Y.M娱乐","",""
"What Is Love? (트와이스의 노래)","What is Love? (TWICE歌曲)","What Is Love? (Twice song)",""
