"russian","chinese","gender"
"Семья Ульяновых","乌里扬诺夫家族",""
"Александр Радищев","亚历山大·拉季舍夫",""
"Александр Ходаковский","亚历山大·霍达科夫斯基",""
"Александра Стрельченко","亚历山德拉·斯特列利琴科",""
"Александр Пономарёв","亚历山大·谢苗诺维奇·波诺马廖夫",""
"Александр Гаук","亚历山大·高克",""
"Иван Москвин","伊万·莫斯克温",""
"Иван Бабков","伊凡·费奥多罗维奇·巴布科夫",""
"Игорь Волобуев","伊戈尔·沃洛布耶夫",""
"Ирина Фарион","伊琳娜·法里昂",""
"Нэля Суздалова","内莉亚·德米特里耶夫娜·苏兹达洛娃",""
"Леонид Топтунов","列昂尼德·托普图诺夫",""
"Леопольд Треппер","利奥波德·特雷伯",""
"Екатерина Гордеева","叶卡捷琳娜·戈蒂耶娃",""
"Евгений Преображенский","叶夫根尼·阿列克谢耶维奇·普列奥布拉任斯基",""
"Ерик Асанбаев","叶里克·阿桑巴耶夫",""
"Татьяна Голикова","塔季扬娜·戈利科娃",""
"Олег Соколов","奥列格·米哈伊洛维奇·索科洛夫",""
"Олег Меньшиков","奥列格·缅希科夫",""
"Юстинас Марцинкявичюс","尤斯蒂纳斯·马辛柯维修斯",""
"Юрий Маленченко","尤里·马连琴科",""
"Юлиуш Руммель","尤里乌什·隆美尔",""
"Николай Труфанов","尼古拉·特鲁法诺夫",""
"Константин Уманский","康斯坦丁·乌曼斯基",""
"Владимир Тихонов","弗拉基米尔·吉洪诺夫",""
"Владимир Кара-Мурза","弗拉迪米尔·卡拉-穆尔扎",""
"Пётр Анисимов","彼得·阿尼西莫夫",""
"Пятрас Цвирка","彼特拉斯·茨维尔卡",""
"Светлана Савицкая","斯韦特兰娜·萨维茨卡娅",""
"Коммунистическая партия Эстонии","爱沙尼亚共产党",""
"Варлам Шаламов","瓦尔拉姆·沙拉莫夫",""
"Василий Блохин","瓦西里·布洛欣",""
"Василий Аксёнов","瓦西里·阿克肖诺夫",""
"Цюй Цюбо","瞿秋白",""
"Михаил Муравьёв","米哈伊尔·阿尔捷米耶维奇·穆拉维约夫",""
"Мирра Андреева","米拉·安德烈耶娃",""
"Виктор Кровопусков","维克托·克罗沃普斯科夫",""
"Сергей Шаргунов","谢尔盖·沙尔古诺夫",""
"Алексий I","阿列克谢一世 (莫斯科及全俄罗斯牧首)",""
"Алексей Поливанов","阿列克谢·波利瓦诺夫",""
"Асаналы Толубаев","阿萨纳利·托卢巴耶夫",""
"Алыкул Осмонов","阿雷库尔·奥斯莫诺夫",""
"Максим Рыльский","马克西姆·雷利斯基",""
"Киностудия имени М. Горького","高尔基电影制片厂",""
"Борис Мельников","鲍里斯·尼古拉耶维奇·梅利尼科夫",""
"Борис III","鲍里斯三世",""
"Шаблон:Секретари СБ РФ","Template:俄罗斯联邦安全会议秘书",""
"Рейд в Белгородскую и Курскую области (март 2024)","2024年3月别尔哥罗德及库尔斯克州入侵",""
"Урумбай Ашуров","乌鲁姆巴伊·阿舒罗夫",""
"Александр Авдеев","亚历山大·亚历山德罗维奇·阿夫杰耶夫",""
"Александр Максимов","亚历山大·阿纳托利耶维奇·马克西莫夫",""
"Иван Фролов","伊万·弗罗洛夫",""
"Игорь Ойстрах","伊戈尔·奥伊斯特拉赫",""
"Зоя Руднова","佐娅·鲁德诺娃",""
"Хосе Диас","何塞·迪亚斯",""
"Пелагея Белоусова","佩拉吉娅·别洛乌索娃",""
"Лев Ошанин","列夫·奥沙宁",""
"Леонид Потапов","列昂尼德·波塔波夫",""
"Евгений Микрин","叶夫根尼·米克林",""
"Тамара Ханум","塔马拉·哈侬",""
"Дора Лазуркина","多拉·拉祖尔金娜",""
"Давид Заславский","大卫·扎斯拉夫斯基",""
"Ольга Каниськина","奥莉加·卡尼斯金娜",""
"Андрей Смирнов","安德烈·基里洛维奇·斯米尔诺夫",""
