korean,chinese,english,gender
"이준","","I-Jun","M"
"서준","瑞俊","Seo-Jun","M"
"하준","河俊","Ha-Jun","M"
"도윤","道潤","Do-Yun","M"
"은우","銀雨","Eun-U","M"
"시우","","Si-U","M"
"지호","志鎬","Ji-Ho","M"
"예준","","Ye-jun","M"
"유준","瑜浚","Yu-Jun","M"
"수호","守護","Su-Ho","M"
"서아","書雅","Seo-ah","M"
"하윤","昰昀","Ha-yoon","M"
"이서","李書","I-seo","M"
"지안","智安","Ji-an","M"
"지아","智雅","Ji-ah","M"
"서윤","瑞潤","Seoyun","M"
"아린","雅琳","A-rin","M"
"아윤","我潤","A-Yun","M"
"하린","","Ha-rin","M"
"하은","夏恩","Ha-eun","M"
"주원","周元","Ju-won","M"
"민준","敏俊","Min-jun","M"
"지유","","Ji-yoo","M"
"지우","知優","Ji-woo","M"
"수아","琇亞","Soo-ah","M"
"준우","","Joon-woo","M"
"서연","瑞妍","Seo-yeon","M"
"지후","持厚","Ji-hu","M"
"준서","俊瑞","Jun-seo","M"
"서현","瑞賢","Seo-hyeon","M"
"민서","旻瑞","Min-seo","M"
"다은","","Da-eun","M"
"현우","賢宇","Hyun-woo","M"
"건우","建宇","Gun-woo","M"
"지훈","志勳","Ji-hun","M"
"윤서","允瑞","Yun-seo","M"
"채원","采元","Chae-won","M"
"은서","恩敍","Eunseo","M"
"도현","度賢","Do-hyun","M"
"지민","志珉","Ji-min","M"
"지윤","志胤","Ji-yoon","M"
"현준","賢俊","Hyun-jun","M"
"민재","珉在","Min-jae","M"
"우진","宇眞","Woo-jin","M"
"수빈","守斌","Su-bin","M"
"예은","藝恩","Ye-eun","M"
"동현","東賢","Dong-hyun","M"
"성민","成民","Sung-min","M"
"성현","成鉉","Sung-hyun","M"
"민수","民秀","Min-soo","M"
"준영","俊永","Jun-young","M"
"준호","俊鎬","Joon-ho","M"
"민규","旼奎","Min-kyu","M"
"승현","承炫","Seung-hyun","M"
"지혜","智惠","Ji-hye","M"
"지은","知恩","[[Ji-eun]]","M"
"은지","恩知","Eun-ji","M"
"민지","敏知","Min-ji","M"
"혜진","惠珍","Hye-jin","M"
"수진","收眞","[[Soo-jin]]","M"
"유진","楢眞","Yu-jin","M"
"슬기","瑟琪","Seul-ki","M"
"지현","智賢","Ji-hyun","M"
"지영","智英","Ji-young","M"
"정훈","正勳","Jung-hoon","M"
"성훈","成勳","Sung-hoon","M"
"진호","珍浩","Jin-ho","M"
"민호","珉豪","Min-ho","M"
"은정","恩貞","Eun-jung","M"
"지연","智妍","Ji-yeon","M"
"은영","恩英","Eun-young","M"
"선영","善永","Sun-young","M"
"현정","賢廷","Hyun-jung","M"
"성호","成鎬","Sung-ho","M"
"성진","星鎭","Sung-jin","M"
"정호","正好","Jung-ho","M"
"상훈","尚勳","Sang-hoon","M"
"영진","英振","Young-jin","M"
"현주","賢周","Hyun-joo","M"
"은주","銀珠","Eun-ju","M"
"미경","美京","Mi-kyung","M"
"은경","恩京","Eun-kyung","M"
"미영","美英","Mi-young","M"
"영수","永壽","Young-soo","M"
"영호","泳浩","Young-ho","M"
"영철","映哲","Young-chul","M"
"성수","成洙","Sung-soo","M"
"미숙","美淑","Mi-sook","M"
"경희","敬姬","Kyung-hee","M"
"영숙","英淑","Young-sook","M"
"경숙","京淑","Kyung-sook","M"
"정희","正姬","Jung-hee","M"
"현숙","賢淑","Hyun-sook","M"
"영희","寧凞","Young-hee","M"
"영미","英美","Young-mi","M"
"영식","永植","Young-sik","M"
"병철","秉哲","Byung-chul","M"
"영환","永煥","Young-hwan","M"
"상철","相喆","Sang-chul","M"
"정숙","正淑","Jung-sook","M"
"명숙","明淑","Myung-sook","M"
"인숙","仁淑","In-sook","M"
"경옥","慶玉","Kyung-ok","M"
"정웅","","Jung-woong","M"
"영길","","Young-gil","M"
"영일","","Young-il","M"
"정수","正洙","Jung-soo","M"
"정남","正男","Jung-nam","M"
"광수","光洙","Kwang-su","M"
"중수","","Joong-soo","M"
"영자","英子","Young-ja","M"
"정자","貞子","Jeong-ja","M"
"순자","順子","Soon-ja","M"
"춘자","春子","Chun-ja","M"
"경자","慶子","Kyung-ja","M"
"옥자","","Ok-ja","M"
"명자","","Myung-ja","M"
"숙자","淑子","Sook-ja","M"
"정순","順玉","Jung-soon","M"
"화자","","Hwa-ja","M"
"종수","宗秀","Jong-soo","M"
"병호","炳浩","Byung-ho","M"
"영기","永基","Young-gi","M"
"일성","一成","Il-sung","M"
"경수","敬秀","Kyung-soo","M"
"성기","聖基","Sung-ki","M"
"종열","鍾律","Jong-yul","M"
"순희","順姬","Soon-hee","M"
